for alpha = 0.2

Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll008.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 155 | GT Points: 207
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll009.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 227 | GT Points: 352
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll010.ply.pcd | Recall: 0.501253% | Precision: 0.763359% | Corresp: 262 | GT Points: 399
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll011.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 193 | GT Points: 375
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll012.ply.pcd | Recall: 0.289855% | Precision: 0.510204% | Corresp: 196 | GT Points: 345
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll013.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 217 | GT Points: 330
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll014.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 175 | GT Points: 362
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll015.ply.pcd | Recall: 1.4218% | Precision: 4.97238% | Corresp: 181 | GT Points: 633
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll016.ply.pcd | Recall: 1.87861% | Precision: 7.26257% | Corresp: 179 | GT Points: 692
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll017.ply.pcd | Recall: 7.15308% | Precision: 17.9211% | Corresp: 279 | GT Points: 699
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll018.ply.pcd | Recall: 9.93789% | Precision: 29.5203% | Corresp: 271 | GT Points: 805
Scene: ../kinect/scenes/sceneTuning.ply.pcd | Model: ../kinect/objects/doll/Doll019.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 216 | GT Points: 142
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck000.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 350 | GT Points: 167
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck001.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 366 | GT Points: 458
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck002.ply.pcd | Recall: 1.97445% | Precision: 5.04451% | Corresp: 337 | GT Points: 861
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck003.ply.pcd | Recall: 0.851064% | Precision: 1.7094% | Corresp: 351 | GT Points: 705
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck004.ply.pcd | Recall: 0.536673% | Precision: 0.857143% | Corresp: 350 | GT Points: 559
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck005.ply.pcd | Recall: 0.189753% | Precision: 0.289017% | Corresp: 346 | GT Points: 527
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck006.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 380 | GT Points: 354
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck007.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 209 | GT Points: 143
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck008.ply.pcd | Recall: 0.331126% | Precision: 0.625% | Corresp: 320 | GT Points: 604
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck009.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 348 | GT Points: 317
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck010.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 328 | GT Points: 300
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck011.ply.pcd | Recall: 0.872093% | Precision: 0.84507% | Corresp: 355 | GT Points: 344
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck012.ply.pcd | Recall: 1.44404% | Precision: 1.03627% | Corresp: 386 | GT Points: 277
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck013.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 327 | GT Points: 260
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck017.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 371 | GT Points: 550
Scene: ../kinect/scenes/scene011.ply.pcd | Model: ../kinect/objects/duck/duck018.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 329 | GT Points: 442
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck000.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 270 | GT Points: 150
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/duck/duck001.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 368 | GT Points: 241
