Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 80% | Matches: 10 | Time: 363ms
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 100% | Matches: 15 | Time: 347ms
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 55.5556% | Matches: 9 | Time: 351ms
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 42.8571% | Matches: 7 | Time: 358ms
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 63.6364% | Matches: 11 | Time: 369ms
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 63.6364% | Matches: 11 | Time: 356ms
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 0% | Matches: 9 | Time: 389ms
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 0% | Matches: 7 | Time: 380ms
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 100% | Matches: 11 | Time: 363ms
Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 0% | Matches: 7 | Time: 338ms
Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 36.3636% | Matches: 11 | Time: 421ms
Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 87.5% | Matches: 8 | Time: 420ms
Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 66.6667% | Matches: 9 | Time: 365ms
Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 0% | Matches: 6 | Time: 322ms
Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 22.2222% | Matches: 9 | Time: 373ms
Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 25% | Matches: 8 | Time: 383ms
Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 0% | Matches: 12 | Time: 348ms
Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 63.6364% | Matches: 11 | Time: 368ms
Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 0% | Matches: 10 | Time: 356ms
Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 57.1429% | Matches: 7 | Time: 379ms
Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 22.2222% | Matches: 9 | Time: 342ms
